Level,ParentPath,AssemblyPath,LineType,PartNumber,PartName,PartKey,QuantityInThisLine,Quantity_in_Parent,OccurrenceLabel,OccurrenceInternalName,Placement,LinkedObjectName,LinkedObjectLabel,Volume_mm3,Area_mm2,BoundingBox_mm,CenterOfMass
0,,Lenkstange komplett,Occurrence(Link),,Lenkstange komplett,LinkGroup016,1,1,Lenkstange komplett,LinkGroup016,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup016,Lenkstange komplett,14604.17071,13471.562,292.99998932152295 x 14.999978643045809 x 21.0,"Vector (-5.480320336607076e-15, 7.735679265942019e-16, 3.5392949494118495)"
1,Lenkstange komplett,Lenkstange komplett/Lenkstange,DirectPart,,Lenkstange,Solid040,1,1,Lenkstange,Solid040,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid040,Lenkstange,12458.0422,10814.69071,292.9481310359799 x 14.99834499798156 x 6.0,"Vector (-3.942249760585321e-15, 7.802369317825115e-16, 3.000000000000001)"
1,Lenkstange komplett,Lenkstange komplett/BÃ¼chse003,Occurrence(Link),,BÃ¼chse,Solid016,2,2,BÃ¼chse003,Link050,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid016,BÃ¼chse,236.3734313,388.3858246,7.984213827426173 x 8.2 x 8.0,"Vector (4.0581239954877407e-16, 4.100000000000001, 7.966246123846256e-17)"
1,Lenkstange komplett,Lenkstange komplett/M5x019,Occurrence(Link),,M5x16,Solid017,2,2,M5x019,Link051,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid017,M5x16,548.2507296,531.080465,8.486812386332247 x 21.00000000000003 x 8.486812386332304,"Vector (3.9242994429763205, 117.23900952949309, -716.314518603178)"
1,Lenkstange komplett,Lenkstange komplett/U-Scheibe003,Occurrence(Link),,U-Scheibe,Solid018,2,2,U-Scheibe003,Link052,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid018,U-Scheibe,288.4400935,408.9693582,15.0 x 2.0 x 15.0,"Vector (4.926795905064991e-16, 0.9482645948300898, 1.8907400395237305e-16)"
0,,Lautsprecher klein komplett,Occurrence(Link),,Lautsprecher klein komplett,LinkGroup018,1,1,Lautsprecher klein komplett,LinkGroup018,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup018,Lautsprecher klein komplett,1323.864716,2833.367818,11.200000000000006 x 24.989423752055007 x 25.000000000000004,"Vector (1.4627119307300671, -6.667276477508273e-07, 7.34426674464745e-07)"
1,Lautsprecher klein komplett,Lautsprecher klein komplett/Lautsprecher klein,DirectPart,,Lautsprecher klein,Solid051,1,1,Lautsprecher klein,Solid051,"Placement [Pos=(0,5.55112e-14,0), Yaw-Pitch-Roll=(0,0,0)]",Solid051,Lautsprecher klein,746.6562982,1279.303254,5.39552894145986 x 24.9633353462781 x 25.0,"Vector (0.16520482882169396, 5.5463569583754904e-14, 8.778813964289153e-16)"
1,Lautsprecher klein komplett,Lautsprecher klein komplett/Lautsprecher klein Box,DirectPart,,Lautsprecher klein Box,Solid052,1,1,Lautsprecher klein Box,Solid052,"Placement [Pos=(1.5,5.55112e-14,0), Yaw-Pitch-Roll=(0,0,0)]",Solid052,Lautsprecher klein Box,577.208572,1554.064564,6.000000000000002 x 24.989423752055007 x 25.000000000000004,"Vector (3.1411205627136294, -1.5291826821870416e-06, 1.6844546679101434e-06)"
0,,Sitz komplett,Occurrence(Link),,Sitz komplett,LinkGroup019,1,1,Sitz komplett,LinkGroup019,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",LinkGroup019,Sitz komplett,69424.18909,75261.81393,156.74637170624862 x 180.93059311667312 x 104.06706759053229,"Vector (-10.885507895258193, 49.51531144405474, 0.008720412695859579)"
1,Sitz komplett,Sitz komplett/Schalensitz,DirectPart,,Schalensitz,Solid055,1,1,Schalensitz,Solid055,"Placement [Pos=(5.55112e-14,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid055,Schalensitz,45782.07184,46079.10709,148.02074880953955 x 166.07280386463307 x 104.06706759053229,"Vector (-10.835623847382127, 56.179553535397204, 0.013240578000888105)"
1,Sitz komplett,Sitz komplett/Sitzhalterung 2,DirectPart,,Sitzhalterung 2,Solid056,1,1,Sitzhalterung 2,Solid056,"Placement [Pos=(-0.580884,-1.55718,-27), Yaw-Pitch-Roll=(0.000476701,0,0)]",Solid056,Sitzhalterung 2,21943.3983,26106.01672,156.74637170624862 x 148.9962692715661 x 90.00000000000003,"Vector (-11.522407909313714, 36.5320289806609, 7.105427357601002e-15)"
1,Sitz komplett,Sitz komplett/M3x019,Occurrence(Link),,M3x10,Solid057,10,10,M3x019,Link057,"Placement [Pos=(0,0,0), Yaw-Pitch-Roll=(0,0,0)]",Solid057,M3x10,128.3782147,205.4447104,13.0 x 5.484620884496492 x 5.5,"Vector (2.0636408434218683, 0.0, -2.631891695209035e-17)"
